GMH GMV X Y Z
60467 6307 0 0 0.0
58083 6259 53.08 0 0.0
55539 6243 106.16 0 0.0
52851 6211 159.24 0 0.0
50035 6171 212.32 0 0.0
47123 6139 265.4 0 0.0
44083 6107 318.48 0 0.0
41011 6059 371.56 0 0.0
37843 6027 424.64 0 0.0
34675 5995 477.72 0 0.0
31507 5963 530.8 0 0.0
28387 5931 583.88 0 0.0
25363 5899 636.96 0 0.0
22339 5867 690.04 0 0.0
19427 5867 743.12 0 0.0
16563 5835 796.2 0 0.0
13907 5803 849.28 0 0.0
11299 5771 902.36 0 0.0
8867 5739 955.44 0 0.0
6531 5739 1008.52 0 0.0
4355 5707 1061.6 0 0.0
3683 8827 1061.6 53.08 0.0
5891 8843 1008.52 53.08 0.0
8243 8907 955.44 53.08 0.0
10739 8939 902.36 53.08 0.0
13379 8939 849.28 53.08 0.0
16131 8971 796.2 53.08 0.0
19011 9035 743.12 53.08 0.0
21987 9035 690.04 53.08 0.0
25091 9035 636.96 53.08 0.0
28227 9067 583.88 53.08 0.0
31427 9099 530.8 53.08 0.0
34659 9163 477.72 53.08 0.0
37923 9195 424.64 53.08 0.0
41187 9227 371.56 53.08 0.0
44355 9259 318.48 53.08 0.0
47459 9291 265.4 53.08 0.0
50435 9323 212.32 53.08 0.0
53299 9339 159.24 53.08 0.0
56051 9371 106.16 53.08 0.0
58627 9403 53.08 53.08 0.0
61075 9451 0 53.08 0.0
61595 12771 0 106.16 0.0
59123 12755 53.08 106.16 0.0
56499 12723 106.16 106.16 0.0
53715 12707 159.24 106.16 0.0
50787 12675 212.32 106.16 0.0
47731 12627 265.4 106.16 0.0
44563 12595 318.48 106.16 0.0
41323 12555 371.56 106.16 0.0
37979 12539 424.64 106.16 0.0
34651 12507 477.72 106.16 0.0
31291 12475 530.8 106.16 0.0
28027 12459 583.88 106.16 0.0
24795 12427 636.96 106.16 0.0
21659 12395 690.04 106.16 0.0
18587 12363 743.12 106.16 0.0
15659 12347 796.2 106.16 0.0
12843 12315 849.28 106.16 0.0
10171 12283 902.36 106.16 0.0
7659 12291 955.44 106.16 0.0
5259 12259 1008.52 106.16 0.0
3051 12211 1061.6 106.16 0.0
2531 15747 1061.6 159.24 0.0
4739 15811 1008.52 159.24 0.0
7155 15811 955.44 159.24 0.0
9699 15827 902.36 159.24 0.0
12435 15875 849.28 159.24 0.0
15251 15875 796.2 159.24 0.0
18275 15907 743.12 159.24 0.0
21395 15907 690.04 159.24 0.0
24627 15971 636.96 159.24 0.0
27891 15971 583.88 159.24 0.0
31251 16003 530.8 159.24 0.0
34643 16035 477.72 159.24 0.0
38067 16067 424.64 159.24 0.0
41427 16099 371.56 159.24 0.0
44755 16131 318.48 159.24 0.0
48019 16163 265.4 159.24 0.0
51123 16163 212.32 159.24 0.0
54083 16195 159.24 159.24 0.0
56899 16227 106.16 159.24 0.0
59555 16259 53.08 159.24 0.0
62051 16291 0 159.24 0.0
62419 19939 0 212.32 0.0
59891 19939 53.08 212.32 0.0
57203 19907 106.16 212.32 0.0
54355 19875 159.24 212.32 0.0
51347 19843 212.32 212.32 0.0
48195 19827 265.4 212.32 0.0
44899 19795 318.48 212.32 0.0
41555 19779 371.56 212.32 0.0
38099 19731 424.64 212.32 0.0
34611 19699 477.72 212.32 0.0
31139 19699 530.8 212.32 0.0
27747 19667 583.88 212.32 0.0
24403 19619 636.96 212.32 0.0
21139 19587 690.04 212.32 0.0
17971 19587 743.12 212.32 0.0
14931 19587 796.2 212.32 0.0
12051 19523 849.28 212.32 0.0
9299 19523 902.36 212.32 0.0
6707 19491 955.44 212.32 0.0
4323 19475 1008.52 212.32 0.0
2067 19459 1061.6 212.32 0.0
1739 23283 1061.6 265.4 0.0
3979 23315 1008.52 265.4 0.0
6427 23331 955.44 265.4 0.0
9019 23363 902.36 265.4 0.0
11787 23379 849.28 265.4 0.0
14683 23411 796.2 265.4 0.0
17771 23395 743.12 265.4 0.0
20971 23427 690.04 265.4 0.0
24283 23443 636.96 265.4 0.0
27675 23443 583.88 265.4 0.0
31099 23475 530.8 265.4 0.0
34611 23507 477.72 265.4 0.0
38163 23507 424.64 265.4 0.0
41635 23539 371.56 265.4 0.0
45043 23571 318.48 265.4 0.0
48371 23603 265.4 265.4 0.0
51555 23619 212.32 265.4 0.0
54579 23651 159.24 265.4 0.0
57459 23683 106.16 265.4 0.0
60147 23683 53.08 265.4 0.0
62691 23731 0 265.4 0.0
62835 27539 0 318.48 0.0
60291 27555 53.08 318.48 0.0
57571 27523 106.16 318.48 0.0
54691 27491 159.24 318.48 0.0
51635 27491 212.32 318.48 0.0
48435 27459 265.4 318.48 0.0
45075 27443 318.48 318.48 0.0
41651 27411 371.56 318.48 0.0
38131 27379 424.64 318.48 0.0
34563 27363 477.72 318.48 0.0
31027 27331 530.8 318.48 0.0
27571 27315 583.88 318.48 0.0
24147 27299 636.96 318.48 0.0
20819 27283 690.04 318.48 0.0
17587 27283 743.12 318.48 0.0
14499 27251 796.2 318.48 0.0
11555 27251 849.28 318.48 0.0
8779 27243 902.36 318.48 0.0
6155 27243 955.44 318.48 0.0
3755 27211 1008.52 318.48 0.0
1483 27195 1061.6 318.48 0.0
1419 31131 1061.6 371.56 0.0
3675 31179 1008.52 371.56 0.0
6131 31171 955.44 371.56 0.0
8723 31203 902.36 371.56 0.0
11523 31187 849.28 371.56 0.0
14451 31203 796.2 371.56 0.0
17547 31227 743.12 371.56 0.0
20779 31211 690.04 371.56 0.0
24107 31243 636.96 371.56 0.0
27531 31243 583.88 371.56 0.0
31019 31243 530.8 371.56 0.0
34571 31275 477.72 371.56 0.0
38139 31259 424.64 371.56 0.0
41659 31323 371.56 371.56 0.0
45115 31323 318.48 371.56 0.0
48459 31339 265.4 371.56 0.0
51659 31339 212.32 371.56 0.0
54731 31371 159.24 371.56 0.0
57627 31387 106.16 371.56 0.0
60331 31387 53.08 371.56 0.0
62891 31403 0 371.56 0.0
62811 35275 0 424.64 0.0
60251 35291 53.08 424.64 0.0
57515 35291 106.16 424.64 0.0
54635 35275 159.24 424.64 0.0
51579 35275 212.32 424.64 0.0
48379 35227 265.4 424.64 0.0
45035 35227 318.48 424.64 0.0
41595 35227 371.56 424.64 0.0
38075 35227 424.64 424.64 0.0
34523 35195 477.72 424.64 0.0
30971 35195 530.8 424.64 0.0
27515 35163 583.88 424.64 0.0
24091 35163 636.96 424.64 0.0
20763 35163 690.04 424.64 0.0
17531 35163 743.12 424.64 0.0
14459 35163 796.2 424.64 0.0
11515 35131 849.28 424.64 0.0
8747 35115 902.36 424.64 0.0
6155 35115 955.44 424.64 0.0
3691 35115 1008.52 424.64 0.0
1435 35099 1061.6 424.64 0.0
1595 39003 1061.6 477.72 0.0
3867 39035 1008.52 477.72 0.0
6315 39051 955.44 477.72 0.0
8907 39019 902.36 477.72 0.0
11675 39035 849.28 477.72 0.0
14587 39067 796.2 477.72 0.0
17659 39035 743.12 477.72 0.0
20859 39035 690.04 477.72 0.0
24155 39067 636.96 477.72 0.0
27563 39051 583.88 477.72 0.0
31003 39067 530.8 477.72 0.0
34491 39099 477.72 477.72 0.0
38075 39067 424.64 477.72 0.0
41531 39067 371.56 477.72 0.0
44955 39099 318.48 477.72 0.0
48283 39099 265.4 477.72 0.0
51451 39099 212.32 477.72 0.0
54491 39099 159.24 477.72 0.0
57371 39099 106.16 477.72 0.0
60075 39099 53.08 477.72 0.0
62619 39115 0 477.72 0.0
62299 42859 0 530.8 0.0
59771 42859 53.08 530.8 0.0
57083 42859 106.16 530.8 0.0
54219 42875 159.24 530.8 0.0
51211 42859 212.32 530.8 0.0
48075 42843 265.4 530.8 0.0
44779 42843 318.48 530.8 0.0
