GMH GMV X Y Z
37135 52875 0 0 0.0
37199 51091 37 0 0.0
37295 49235 74 0 0.0
37359 47315 111 0 0.0
37487 45363 148 0 0.0
37583 43315 185 0 0.0
37647 41267 222 0 0.0
37743 39187 259 0 0.0
37839 37043 296 0 0.0
37935 34867 333 0 0.0
37999 32755 370 0 0.0
38095 30611 407 0 0.0
38191 28403 444 0 0.0
38287 26291 481 0 0.0
38383 24147 518 0 0.0
38447 22099 555 0 0.0
38543 20019 592 0 0.0
38607 18067 629 0 0.0
38703 16147 666 0 0.0
40815 16307 666 37 0.0
40719 18227 629 37 0.0
40655 20211 592 37 0.0
40559 22227 555 37 0.0
40495 24275 518 37 0.0
40431 26387 481 37 0.0
40303 28499 444 37 0.0
40207 30643 407 37 0.0
40111 32787 370 37 0.0
40047 34931 333 37 0.0
39951 37075 296 37 0.0
39855 39155 259 37 0.0
39791 41235 222 37 0.0
39695 43283 185 37 0.0
39599 45299 148 37 0.0
39503 47251 111 37 0.0
39439 49171 74 37 0.0
39311 50995 37 37 0.0
39247 52787 0 37 0.0
41359 52659 0 74 0.0
41455 50867 37 74 0.0
41519 49043 74 74 0.0
41615 47155 111 74 0.0
41711 45203 148 74 0.0
41775 43219 185 74 0.0
41871 41203 222 74 0.0
41967 39123 259 74 0.0
42063 37043 296 74 0.0
42127 34963 333 74 0.0
42223 32819 370 74 0.0
42319 30707 407 74 0.0
42383 28595 444 74 0.0
42447 26515 481 74 0.0
42575 24435 518 74 0.0
42639 22419 555 74 0.0
42703 20403 592 74 0.0
42799 18451 629 74 0.0
42895 16531 666 74 0.0
44879 16819 666 111 0.0
44815 18675 629 111 0.0
44719 20627 592 111 0.0
44655 22579 555 111 0.0
44559 24595 518 111 0.0
44495 26643 481 111 0.0
44399 28723 444 111 0.0
44335 30803 407 111 0.0
44239 32915 370 111 0.0
44175 34995 333 111 0.0
44079 37043 296 111 0.0
44015 39123 259 111 0.0
43919 41171 222 111 0.0
43855 43155 185 111 0.0
43727 45139 148 111 0.0
43663 47059 111 111 0.0
43567 48915 74 111 0.0
43503 50739 37 111 0.0
43375 52467 0 111 0.0
45391 52243 0 148 0.0
45455 50515 37 148 0.0
45551 48723 74 148 0.0
45615 46899 111 148 0.0
45711 44979 148 148 0.0
45807 43059 185 148 0.0
45871 41107 222 148 0.0
45967 39091 259 148 0.0
46031 37043 296 148 0.0
46127 34995 333 148 0.0
46223 32947 370 148 0.0
46287 30867 407 148 0.0
46383 28787 444 148 0.0
46447 26771 481 148 0.0
46511 24755 518 148 0.0
46607 22803 555 148 0.0
46703 20819 592 148 0.0
46735 18963 629 148 0.0
46831 17075 666 148 0.0
48719 17395 666 185 0.0
48623 19219 629 185 0.0
48559 21075 592 185 0.0
48495 22995 555 185 0.0
48399 24947 518 185 0.0
48335 26931 481 185 0.0
48271 28947 444 185 0.0
48207 30963 407 185 0.0
48143 32979 370 185 0.0
48015 34995 333 185 0.0
47951 37043 296 185 0.0
47887 39027 259 185 0.0
47791 41011 222 185 0.0
47695 42963 185 185 0.0
47631 44883 148 185 0.0
47567 46739 111 185 0.0
47471 48563 74 185 0.0
47375 50323 37 185 0.0
47279 52019 0 185 0.0
49135 51763 0 222 0.0
49199 50099 37 222 0.0
49327 48339 74 222 0.0
49391 46547 111 222 0.0
49487 44723 148 222 0.0
49551 42803 185 222 0.0
49647 40915 222 222 0.0
49743 38963 259 222 0.0
49807 37011 296 222 0.0
49871 35027 333 222 0.0
49935 33043 370 222 0.0
49999 31027 407 222 0.0
50095 29075 444 222 0.0
50159 27091 481 222 0.0
50223 25107 518 222 0.0
50287 23219 555 222 0.0
50383 21331 592 222 0.0
50447 19475 629 222 0.0
50511 17651 666 222 0.0
52271 17971 666 259 0.0
52207 19763 629 259 0.0
52143 21587 592 259 0.0
52079 23443 555 259 0.0
51983 25331 518 259 0.0
51919 27251 481 259 0.0
51855 29171 444 259 0.0
51791 31091 407 259 0.0
51727 33075 370 259 0.0
51631 35027 333 259 0.0
51567 36979 296 259 0.0
51503 38899 259 259 0.0
51407 40819 222 259 0.0
51343 42675 185 259 0.0
51247 44563 148 259 0.0
51183 46355 111 259 0.0
51119 48115 74 259 0.0
51023 49843 37 259 0.0
50927 51507 0 259 0.0
52655 51187 0 296 0.0
52719 49587 37 296 0.0
52847 47859 74 296 0.0
52911 46163 111 296 0.0
52975 44339 148 296 0.0
53039 42547 185 296 0.0
53167 40691 222 296 0.0
53199 38835 259 296 0.0
53263 36915 296 296 0.0
53327 34995 333 296 0.0
53423 33107 370 296 0.0
53487 31187 407 296 0.0
53583 29267 444 296 0.0
53615 27379 481 296 0.0
53679 25523 518 296 0.0
53775 23667 555 296 0.0
53839 21843 592 296 0.0
53871 20051 629 296 0.0
53935 18291 666 296 0.0
55535 18611 666 333 0.0
55503 20339 629 333 0.0
55439 22099 592 333 0.0
55375 23859 555 333 0.0
55311 25683 518 333 0.0
55247 27539 481 333 0.0
55183 29395 444 333 0.0
55119 31251 407 333 0.0
55055 33171 370 333 0.0
54991 35027 333 333 0.0
54927 36883 296 333 0.0
54863 38739 259 333 0.0
54767 40595 222 333 0.0
54703 42387 185 333 0.0
54639 44179 148 333 0.0
54575 45907 111 333 0.0
54479 47635 74 333 0.0
54415 49299 37 333 0.0
54319 50931 0 333 0.0
55919 50611 0 370 0.0
55983 49011 37 370 0.0
56047 47379 74 370 0.0
56111 45683 111 370 0.0
56207 43955 148 370 0.0
56271 42227 185 370 0.0
56335 40467 222 370 0.0
56399 38675 259 370 0.0
56495 36851 296 370 0.0
56559 34995 333 370 0.0
